"Intel",95,"","karma-gap",20,"2026-06-28","[':']"
"Numo",95,"abapays.com","karma-gap",45,"2026-06-30","['github:0xoucan','twitter:0xoucan']"
"Gardens",87.9,"gardens.fund","artizen-s7,curated,giveth,karma-gap",22,"2025-07-31","['github:1hive']"
"TAS",87,"techandsun.xyz","karma-gap",3,"2026-08-20","['twitter:techandsun_ng']"
"Forest - an efficient and lightweight Filecoin Node",83,"","karma-gap",2,"2026-07-22","[':']"
"IPNI: Interplanetary Network Indexer",83,"","karma-gap",2,"2026-07-22","[':']"
"CeloSusu",80,"","karma-gap",10,"2025-12-19","[':']"
"GoodDollar",80,"gooddollar.org","karma-gap",7,"2025-10-15","['twitter:gooddollarorg']"
"ReFi Barcelona",80,"","karma-gap",5,"2026-03-06","[':']"
"GreenPill Global",80,"greenpiil.network","karma-gap",28,"2026-01-07","['twitter:greenpillboston']"
"Cosmic",80,"","karma-gap",13,"2025-12-10","[':']"
"IDRA",80,"","karma-gap",10,"2025-11-17","[':']"
"Helpio",80,"helpio.onrender.com","karma-gap",7,"2025-12-07","['github:deshadev']"
"SwipePad.xyz",80,"refistarter.org","karma-gap",13,"2025-12-08","['github:refi-starter','twitter:refistarter']"
"HUB Portal Chat",80,"","karma-gap",7,"2025-11-13","[':']"
"GainForest",80,"","giveth",30,"2026-02-18","[':']"
"VoiceDeck",80,"app.voicedeck.org","karma-gap",6,"2025-11-04","['twitter:voicedeckdao']"
"OpenLitterMap Real-Time In-World Gamification Syst",80,"openlittermap.com","karma-gap",7,"2025-12-08","['twitter:littercoin']"
"Splitva",80,"trynoah.ai","karma-gap",20,"2026-03-21","['github:chigozie0706','twitter:chigoziejacob1']"
"3 Wheeler Bike Club",80,"3wb.club","karma-gap",13,"2025-11-06","['github:3-wheeler-bike-club','twitter:3wbclub']"
"MotusDAO Dapp",80,"agents.motusdao.org","karma-gap",7,"2026-02-27","['github:motus-dao','twitter:motusdao']"
"ETHealth",80,"","karma-gap",10,"2026-02-07","[':']"
"BMedia",80,"borderless.cryptosmartnow.io","karma-gap",19,"2025-12-08","['twitter:_karlagod']"
"FaucetDrops",80,"faucetdrops.io","karma-gap",17,"2025-11-22","['email:drops.faucet@gmail.com','github:jerydam','twitter:faucetdrops']"
"Esusu",80,"esusuafrica.com","karma-gap",19,"2026-02-18","['github:emiridbest','twitter:emiridbest']"
"ReFi Medellín - First Colombian Node of ReFiDAO responsible for promoting ReFi projects in Medellín.",80,"refimedellin.org","karma-gap",16,"2025-11-10","['email:admin@refimedellin.org','github:refimedellin','twitter:refimedellin']"
"GM on Celo",80,"","karma-gap",5,"2025-12-12","[':']"
"Wayst Recycling",80,"waystrecycling.com","karma-gap",5,"2025-11-03","['github:wayst-recycling','twitter:recycleoncarus']"
"FREEDAM",80,"notion.so","karma-gap",22,"2025-12-08","['twitter:0xurbanika']"
"Silvi",80,"","giveth",16,"2025-12-08","[':']"
"GreenSofa",80,"","karma-gap",11,"2026-02-27","[':']"
"AgroforestDAO",80,"","artizen-s7",18,"2026-03-05","[':']"
"Zingo Labs Hackfest",80,"","karma-gap",37,"2026-02-25","[':']"
