"SwipePad.xyz",83,1009580,0,13,283,"refistarter.org","['github:refi-starter','twitter:refistarter']"
"Numo",78,22605,0,45,79,"abapays.com","['github:0xoucan','twitter:0xoucan']"
"DeSci Asia",73,10235,0,20,87,"","[':']"
"Gig Jar",73,6950500,0,10,309,"buidlersclub.org","['github:ozkite','twitter:buidlersclub']"
"Gardens",72.32,10491,0,23,413,"gardens.fund","['github:1hive']"
"rotki",72,275628,0,18,517,"","[':']"
"ReFi Medellín - First Colombian Node of ReFiDAO responsible for promoting ReFi projects in Medellín.",71,50131,0,16,311,"refimedellin.org","['email:admin@refimedellin.org','github:refimedellin','twitter:refimedellin']"
"Interplanetary Network Indexers",69,440000,0,2,282,"","[':']"
"Intel",68,615,0,20,81,"","[':']"
"Mónica Talán",67,54731,0,4,505,"cryptoconexion.com","['twitter:cryptoconexion']"
"Treetino & Certino Protocol",66,220000,0,0,21,"treetino.com","['twitter:jakublustyk23']"
"dHedge",66,850000,0,3,682,"dhedge.org","['twitter:dhedgeorg']"
"EAS Dev Tools",65,50000,0,17,542,"attest.org","['twitter:eas_eth']"
"MotusDAO Dapp",63,400,0,7,202,"agents.motusdao.org","['github:motus-dao','twitter:motusdao']"
"ZeroTx",63,5044,0,98,189,"chesspuzzles.xyz","['github:0xedev','twitter:adsbazaar5']"
"Silvi",63,12356,0,17,283,"","[':']"
"OpenLitterMap Real-Time In-World Gamification Syst",63,30000,0,7,283,"openlittermap.com","['twitter:littercoin']"
"Esusu",63,13143,0,19,211,"esusuafrica.com","['github:emiridbest','twitter:emiridbest']"
"3 Wheeler Bike Club",63,13003,0,13,315,"3wb.club","['github:3-wheeler-bike-club','twitter:3wbclub']"
"GoodDollar",63,14958,0,7,337,"gooddollar.org","['twitter:gooddollarorg']"
"CharmVerse",62,50000,0,4,533,"charmverse.io","['github:charmverse','twitter:charmverse']"
"CoindPay",59,153906,0,3,682,"","[':']"
"ETHealth",58,54,0,10,222,"","[':']"
"GreenPill Global",58,3500,0,28,253,"greenpiil.network","['twitter:greenpillboston']"
"Funding the Commons",58,3398,0,14,283,"","[':']"
"CeloSusu",58,0,0,10,272,"","[':']"
"FaucetDrops",58,2450,0,17,299,"faucetdrops.io","['email:drops.faucet@gmail.com','github:jerydam','twitter:faucetdrops']"
"Mi Costa de Oro",58,2200,0,16,283,"gap.karmahq.xyz","['email:info@karmahq.xyz','github:orgs','twitter:kmllcw3']"
"BMedia",58,0,0,19,283,"borderless.cryptosmartnow.io","['twitter:_karlagod']"
"Hairdo",58,696,0,15,275,"famile.xyz","['email:hello@famile.xyz','email:care@famile.xyz','email:partners@famile.xyz','github:thisyearnofear','twitter:papajimjams']"
"Zingo Labs Hackfest",58,0,0,37,204,"","[':']"
"Splitva",58,729,0,20,180,"trynoah.ai","['github:chigozie0706','twitter:chigoziejacob1']"
"GreenSofa",58,5938,0,11,202,"","[':']"
"GainForest",58,9467,0,31,211,"","[':']"
"Giveth Matching Pool",57,427878,0,6,475,"","[':']"
"Ybirá",57,100,0,39,475,"agroforestdao.web.app","['twitter:agroforestdao']"
"Regens Unite",57,24041,0,20,534,"","[':']"
"2lambro",57,20000,0,6,533,"desci.world","['email:admin@desci.world','email:your@email.com','email:josh-stage@1.5x.jpeg','github:desciworlddao','twitter:2lambro']"
"EcoSynthesisX DAO",57,13417,0,15,534,"","[':']"
"Earth Commons",57,4409,0,6,582,"","[':']"
"Hypercerts Foundation",57,13979,0,14,542,"","[':']"
"TAS",57,0,0,3,28,"techandsun.xyz","['twitter:techandsun_ng']"
"EthStaker",57,10299,0,15,612,"","[':']"
"Bankless Academy",57,2864,0,10,517,"","[':']"
"Layer2DAO",56,300000,0,1,892,"layer2dao.org","['github:layer2dao','twitter:thelayer2dao']"
"Fairmint",56,250000,0,1,892,"","[':']"
"Messari",56,365000,0,1,892,"messari.io","['twitter:messaricrypto']"
"Mālama Labs Inc.",56,240000,0,0,240,"malamalabs.com","['email:hello@malamalabs.com','email:tyler@malamalabs.com','twitter:malamalabs']"
"Tally Ho",56,400000,0,1,892,"tallyho.cash","['email:your@email.com','github:tallycash','twitter:tallycash']"
"FlowState",55,9697,0,15,384,"flowstate.network","[':']"
"Pairwise: Simplifying Choices, Amplifying Voices",55,6429,0,13,542,"pairwise.generalmagic.io","['twitter:generalmagicio']"
"Regenerative | Insights & Liquidity",55,8226,0,4,337,"regenerative.fi","['twitter:regenerativefi']"
"Week in PGF",55,4197,0,12,517,"paragraph.xyz","['twitter:eisodosmedia']"
"IPNI: Interplanetary Network Indexer",54,0,0,2,57,"","[':']"
"Forest - an efficient and lightweight Filecoin Node",54,0,0,2,57,"","[':']"
"HUB Portal Chat",53,0,0,7,308,"","[':']"
"Helpio",53,0,0,7,284,"helpio.onrender.com","['github:deshadev']"
"Wayst Recycling",53,0,0,5,318,"waystrecycling.com","['github:wayst-recycling','twitter:recycleoncarus']"
"IDRA",53,0,0,10,304,"","[':']"
"GM on Celo",53,0,0,5,279,"","[':']"
"Cosmic",53,0,0,13,281,"","[':']"
"FREEDAM",53,0,0,22,283,"notion.so","['twitter:0xurbanika']"
"Irthu",53,0,0,22,283,"atlantisp2p.com","['github:atlantisdao1','twitter:atlantis_p2p']"
"CeloColombia DeFi Bootcamp",53,0,0,7,314,"cold-briu.github.io","['github:augustoalegon','twitter:alexiismarz']"
"VoiceDeck",53,0,0,6,317,"app.voicedeck.org","['twitter:voicedeckdao']"
"AgroforestDAO",53,0,0,18,196,"","[':']"
"ReFi Barcelona",53,0,0,5,195,"","[':']"
"Titanium-Solar Interaction Protocol",53,120000,0,1,413,"","[':']"
"Afo",52,56,0,6,490,"warpcast.com","['github:sogobanwo','twitter:greenpill']"
"Know Your Human",52,0,0,3,178,"communitysustainability.ca","['github:explorience','twitter:heenalr']"
"Gravity DAO",52,6027,0,7,517,"","[':']"
"Have I Been Rekt?",52,0,0,6,533,"beenrekt.com","['twitter:climaterace']"
"ReFi Mexico",52,3612,0,8,510,"refimexico.org","['github:refimexico','twitter:refimexico']"
"Rankify",52,72,0,9,497,"peeramid.network","['github:peeramid-labs','twitter:peeramid_labs']"
"DeSci LATAM",52,4990,0,12,533,"descilatam.org","['twitter:descilatam']"
"Closer - Digital access to co-owned villages",52,179,0,5,483,"closer.earth","['email:space@traditionaldreamfactory.com','email:john@doe.com','email:team@closer.earth','github:closerdao','twitter:closerearth']"
"Kolektivo Network",52,1802,0,8,532,"","[':']"
"Citizen Wallet",52,24,0,8,430,"citizenwallet.xyz","['twitter:citizenwallet']"
"Open Source Observer",52,4587,0,14,451,"","[':']"
"GlidePay",52,57,0,7,381,"glide-pay.onrender.com","['github:edcode-bot','twitter:rockchain_9']"
"Wildcards Protocol",51,45000,0,3,682,"wildcards.wtf","['twitter:wildcardswtf']"
"Compound Community Portfolio",51,12500,0,1,283,"compcomm.club","[':']"
"Decentralized Cleanup Network",51,12739,0,3,537,"","[':']"
"Ankr - Filecoin Public Endpoint Infrastructure",51,0,0,1,65,"","[':']"
"ReFi DAO | Unlocking a Global Regen CoordiNATION",51,13601,0,2,542,"","[':']"
"Focus Pet",51,0,0,1,79,"focus-pet.xyz","['github:0xolivanode','twitter:focuspet4062']"
".sdvs",50,0,0,4,333,"","[':']"
"Hypercert",50,0,0,5,638,"","[':']"
"Vibo",50,0,0,4,285,"nanopay.live","['github:mbarbosa30','twitter:vibomarket']"
"Atlantis World",49,50000,0,1,892,"atlantis.world","['twitter:atlantis0x']"
"Another World",49,50000,0,1,892,"anotherworld.gg","['twitter:anotherworlddao']"
"Diamante Bridge Collective",49,80089,0,1,748,"","[':']"
"ETH Pura Vida",49,3500,0,2,280,"","[':']"
"Cos72",49,2000,0,4,572,"aastar.io","['twitter:aastarcommunity']"
"Extra Finance",49,104000,0,1,892,"app.extrafi.io","['twitter:extrafi_io']"
"Crypto Commons Association",49,5484,0,2,238,"","[':']"
"chatWallet",49,500,0,4,537,"chatwallet-x.web.app","['email:emn178@gmail.com','twitter:xunorus']"
"Rubicon",49,1100000,0,2,882,"","[':']"
"VUC",48,0,0,0,55,"","[':']"
"Greenpill Dev Guild",48,13544,0,20,130,"","[':']"
"Ecofrontiers",48,16530,0,17,283,"ecofrontiers.app","['twitter:ecofrontiers']"
"Grassroots Economics",48,21424,0,6,294,"","[':']"
"Impact Evaluation Foundation (IEF.wiki)",48,13000,0,2,682,"ief.wiki","['email:hello@ief.wiki','twitter:danielofanu']"
"Petition.io",48,0,0,0,64,"petition.io","['twitter:petitionio']"
"Ethereum Attestation Service",48,12537,0,2,517,"","[':']"
"ReFi Medellin",48,25159,0,2,542,"","[':']"
"ReFi Nairobi",48,0,0,6,759,"solarpunknomads.xyz","['twitter:refinairobi']"
"GEN Ukraine",48,12800,0,9,226,"genukraine.com.ua","['email:genukraine2018@gmail.com','twitter:gen_ukraine']"
"HealFi",48,25,0,6,317,"","[':']"
"Ama Earth Group",47,0,0,7,682,"","[':']"
"Earthist Seeds for Regeneration",47,0,0,15,517,"earthist.network","['email:regen@earthist.network','github:orgs','twitter:earthistdao']"
"Onchain data for Sei Games",47,0,0,6,407,"dune.com","['github:duneanalytics','twitter:p_petertherock).']"
"Landia",47,0,0,6,682,"landia.world","['twitter:landiaregen']"
"MetaGov",47,0,0,12,542,"metagov.org","[':']"
"ReFi Prague",47,0,0,23,470,"refidao.com","['twitter:daliborcerny']"
"Kernel",47,0,0,6,598,"kernel.community","['twitter:body_by_onio']"
"ReFi Phangan - Land, Community & Web3 Impact",47,0,0,10,494,"","[':']"
"Carmine Finance",47,0,0,5,682,"carmine.finance","['twitter:carmineoptions']"
"BetOracle",47,0,0,3,180,"","[':']"
"BrightID",47,0,0,8,535,"brightid.org","[':']"
"Web3beach",47,0,0,6,713,"web3beach.io","['twitter:carlosjmelgar']"
"Astro DAO",47,0,0,6,505,"hub.xyz","['email:hello@hub.xyz','twitter:astroguysdao']"
"ApeWorX",47,0,0,5,537,"apeworx.io","['twitter:apeframework']"
