"SwipePad.xyz",83,2019080,0,15,283,"refistarter.org","karma-gap",0.8,0.4,"Regenerative approach, decentralized marketplace, and grants for tokenization","['github:refi-starter','twitter:refistarter']","fund:2019080 recency:283d grants:15 src:1"
"Numo",78,22605,0,45,79,"abapays.com","karma-gap",0.2,0.8,"Lack of technical expertise in ReFi/regenerative dev","['github:0xoucan','twitter:0xoucan']","fund:22605 recency:79d grants:45 src:1"
"FilPonto",77,1000000,0,3,57,"","karma-gap",0,0,"","[':']","fund:1000000 recency:57d grants:3 src:1"
"DeSci Asia",73,10235,0,20,87,"","artizen-s7",0,0,"","[':']","fund:10235 recency:87d grants:20 src:1"
"Gig Jar",73,13901000,0,12,309,"buidlersclub.org","karma-gap",0.2,0.8,"Limited environmental focus, significant technical needs, and some funding available","['github:ozkite','twitter:buidlersclub']","fund:13901000 recency:309d grants:12 src:1"
"rotki",72,275628,0,18,517,"","giveth",0,0,"","[':']","fund:275628 recency:517d grants:18 src:1"
"ReFi Medellín - First Colombian Node of ReFiDAO responsible for promoting ReFi projects in Medellín.",71,100131,0,17,311,"refimedellin.org","karma-gap",0.8,0.4,"Promotes sustainable future, but lacks tech expertise, has some funds","['email:admin@refimedellin.org','email:admin@refimedellin.org','github:refimedellin','twitter:refimedellin','email:admin@refimedellin.org']","fund:100131 recency:311d grants:17 src:1"
"Interplanetary Network Indexers",69,440000,0,2,282,"","karma-gap",0,0,"","[':']","fund:440000 recency:282d grants:2 src:1"
"Intel",68,615,0,20,81,"","karma-gap",0.2,0.8,"Limited environmental focus, but potential for growth; significant technical needs; mixed funding situation","[':']","fund:615 recency:81d grants:20 src:1"
"Mónica Talán",67,54731,0,4,505,"cryptoconexion.com","karma-gap",0.2,0.8,"Limited environmental focus, significant technical needs, moderate financial resources","['twitter:cryptoconexion']","fund:54731 recency:505d grants:4 src:1"
"dHedge",66,850000,0,3,682,"dhedge.org","karma-gap",0.8,0.4,"Early project, needs optimization, has funds for dev work","['twitter:dhedgeorg']","fund:850000 recency:682d grants:3 src:1"
"Treetino & Certino Protocol",66,220000,0,0,21,"treetino.com","karma-gap",0.8,0.4,"Sustainable energy innovation, moderate tech needs, and funding","['twitter:jakublustyk23']","fund:220000 recency:21d grants:0 src:1"
"All For Climate",65,387008,0,3,888,"allforclimate.earth","karma-gap,opencollective",0,0,"","['email:hello@readymag.com','email:support@readymag.com','email:edu@readymag.com','email:support@readymag.com','email:edu@readymag.com','email:hello@readymag.com','email:support@readymag.com','email:edu@readymag.com','twitter:all4climatedao','email:hello@readymag.com']","fund:387008 recency:888d grants:3 src:2"
"EAS Dev Tools",65,50000,0,17,542,"attest.org","karma-gap",0,1,"Improves attestation explorer, enhances dev experience","['twitter:eas_eth']","fund:50000 recency:542d grants:17 src:1"
